year,month,count
2019,1,7635304
2019,2,6991042
2019,3,7802205
2019,4,7414533
2019,5,7530381
2019,6,6895948
2019,7,6231001
2019,8,5990659
2019,9,6482328
2019,10,7127820
2019,11,6787511
2019,12,6804324
